Tarih,Ürün,Satiş,Bölge
2026-02-02,Mouse,1600,Yozgat
2026-02-03,Monitör,680,Adana
2026-01-04,Kasa,850,Samsun
2026-01-05,Fan,1800,Rize
2026-01-06,İşlemci,1900,Tekirdağ
2026-01-07,Ekran Karti,1700,Trabzon
2026-01-08,Hoparlör,1700,Edirne
2026-01-09,Kulaklik,1650,Erzurum
2026-01-10,Soğutucu,990,Erzincan
2026-01-11,Ram,1670,Eskişehir
2026-01-12,Cpu,1640,Gaziantep
2026-01-13,GPU,1999,Giresun
2026-01-14,klavye,1730,Hatay
2026-01-15,adaptör,1120,Isparta
2026-01-16,sarj aleti,1710,Amasya
2026-01-17,elektrikli süpürge,1595,Kars
2026-01-18,ütü,1555,Kastamonu
2026-01-19,firin,555,Kayseri
2026-01-20,buzdolabi,1870,Mersin
2026-01-21,Telefon,1690,Muş


